"title","price","description","location","image","url"
"Neoprosone Skin Brightening Lightening Set","KSh 3,799","Neoprosone Skin Lightening Set 
This set is effective for skin lightening and brightening.
Face...","Nairobi, Nairobi Central","https://pictures-kenya.jijistatic.com/69047955_MzAwLTMwMC02Zjk1NTk5ZTAzLTE.webp","https://jiji.co.ke/nairobi-central/skin-care/neoprosone-skin-brightening-lightening-set-ynR063vJF7hNIVhqN7rTUcQ0.html?page=1&pos=1&cur_pos=1&ads_per_page=20&ads_count=2256&lid=5_0JxM-gxg6WVW6W&indexPosition=0"
"Precision Knives Epica Star Precision Knife Scapel Blades","KSh 999","Epica Star Precision Craft Knife Kit (Model EP-60625).
This kit includes a set of precision craft...","Nairobi, Nairobi Central","https://pictures-kenya.jijistatic.com/76665363_MzAwLTMwMC01MWYwNGViZDRi.webp","https://jiji.co.ke/nairobi-central/cell-phones-tablets-accessories/precision-knives-epica-star-precision-knife-scapel-blades-9S6D4lsVLkjbVJTrVCCVJ7I0.html?page=1&pos=2&cur_pos=2&ads_per_page=20&ads_count=2256&lid=5_0JxM-gxg6WVW6W&indexPosition=1"
"Orthodontic Retainer Case Portable Invisible Braces Case Light Weight","KSh 499","Keep your smile-perfecting investment safe and clean with this portable and lightweight retainer...","Nairobi, Nairobi Central","https://pictures-kenya.jijistatic.com/78268439_MzAwLTMwMC01MjZhOTk2YmNl.webp","https://jiji.co.ke/nairobi-central/oral-care/orthodontic-retainer-case-portable-invisible-braces-case-light-weight-3foIp3sFTLJ3jiut0ElbEeBB.html?page=1&pos=3&cur_pos=3&ads_per_page=20&ads_count=2256&lid=5_0JxM-gxg6WVW6W&indexPosition=2"
"Adacin Gel Acne Treatment Pimples Cystic Acne Spot Treats","KSh 1,499","Adacin Gel Acne Treatment Pimples & Cystic Acne Spot Treatment
Adacin Gel is a combination of two...","Nairobi, Nairobi Central","https://pictures-kenya.jijistatic.com/38089615_MzAwLTE2OS0yZWFiZmNiMjZiLTE.webp","https://jiji.co.ke/nairobi-central/skin-care/adacin-gel-acne-treatment-pimples-cystic-acne-spot-treats-9RyiQyDF7UNNRfOtx92U3Qdx.html?page=1&pos=4&cur_pos=4&ads_per_page=20&ads_count=2256&lid=5_0JxM-gxg6WVW6W&indexPosition=3"
"Tronic Digital Power Meter Energy Meter Socket Token Monitor","KSh 2,997","The tronic digital power meter em kw08 
is a powerful watt meter socket designed to help you track...","Nairobi, Nairobi Central","https://pictures-kenya.jijistatic.com/77999107_MzAwLTMwMy1kMjQyZDQ2ZWIw.webp","https://jiji.co.ke/nairobi-central/accessories-and-supplies-for-electronics/tronic-digital-power-meter-energy-meter-socket-token-monitor-itQyEwBkFQjuekrSmnJOBPsh.html?page=1&pos=5&cur_pos=5&ads_per_page=20&ads_count=2256&lid=5_0JxM-gxg6WVW6W&indexPosition=4"
"Klenzit-C Gel Adapalene + Clindamycin Acnes Gel - Pimples","KSh 1,499","Klenzit-C Gel is used in the treatment of acne to decrease the number and severity of pimples and...","Nairobi, Nairobi Central","https://pictures-kenya.jijistatic.com/27801026_MzAwLTE2OS0yNzdhNGQ0NWM3LTI.webp","https://jiji.co.ke/nairobi-central/skin-care/klenzit-c-gel-adapalene-clindamycin-acnes-gel-pimples-1Bq7bKZ7v6xEStMoZEGLrfTP.html?page=1&pos=6&cur_pos=6&ads_per_page=20&ads_count=2256&lid=5_0JxM-gxg6WVW6W&indexPosition=5"
"Hot Water Bottle Silicone for Hot Compress and Pain Relief","KSh 399","Soothe Aches & Embrace Warmth with Our Premium Hot Water Bottle
Experience comforting relief and...","Nairobi, Nairobi Central","https://pictures-kenya.jijistatic.com/76481901_MzAwLTI5Ny1kNmZiMDBhNmEx.webp","https://jiji.co.ke/nairobi-central/tools-accessories/hot-water-bottle-silicone-for-hot-compress-and-pain-relief-4WqCULB6ajVw4GULqa1ibWLh.html?page=1&pos=7&cur_pos=7&ads_per_page=20&ads_count=2256&lid=5_0JxM-gxg6WVW6W&indexPosition=6"
"Arthritis Oil Mirihi Oil Madina 4 Joint Pain Relief Massage","KSh 799","Arthritis Oil - Madina - Most Powerful Pain Fighter
Mirihi Oil 
100% Pure Herbs
Effective in Joint...","Nairobi, Nairobi Central","https://pictures-kenya.jijistatic.com/35207684_MzAwLTUzNC05ZTRhMmRkYTE2LTE.webp","https://jiji.co.ke/nairobi-central/supplements/arthritis-oil-mirihi-oil-madina-4-joint-pain-relief-massage-fU1o9R8N2hE9fCx4o7J3fGA8.html?page=1&pos=8&cur_pos=8&ads_per_page=20&ads_count=2256&lid=5_0JxM-gxg6WVW6W&indexPosition=7"
"Retinol Anti Wrinkle Face Cream for Wrinkles and Fine Lines","KSh 799","Unlock the secret to radiant, youthful skin with the Dr. Meinaier Miracle Retinol Whitening...","Nairobi, Nairobi Central","https://pictures-kenya.jijistatic.com/77991766_MzAwLTM3NS0yNDk4ZTk5MTBi.webp","https://jiji.co.ke/nairobi-central/skin-care/retinol-anti-wrinkle-face-cream-for-wrinkles-and-fine-lines-df5D6ntqR1O7gyhFwolYYFhy.html?page=1&pos=9&cur_pos=9&ads_per_page=20&ads_count=2256&lid=5_0JxM-gxg6WVW6W&indexPosition=8"
"Ensave Voltage Protector 63amps Adjustable Current Surge 63a","KSh 2,997","Ensave Adjustable Voltage Current Protector 63A
Specs: 
Model: VCP-63
Rated Voltage: 230V...","Nairobi, Nairobi Central","https://pictures-kenya.jijistatic.com/75845691_MzAwLTMwMC0xZjIzMmZjYWRi.webp","https://jiji.co.ke/nairobi-central/accessories-and-supplies-for-electronics/ensave-voltage-protector-63amps-adjustable-current-surge-63a-jOwy8Gjp5jKMZm54zbLL7e3I.html?page=1&pos=10&cur_pos=10&ads_per_page=20&ads_count=2256&lid=5_0JxM-gxg6WVW6W&indexPosition=9"
